store_id,name,region,city,state,zipcode,opened_date
S1000,FreshFields #000,Northeast,Albany,NY,46048,2020-09-30
S1001,FreshFields #001,Midwest,Detroit,MI,23434,2018-12-23
S1002,FreshFields #002,South,Charlotte,NC,13905,2019-01-19
S1003,FreshFields #003,West,Seattle,WA,76237,2018-04-19
S1004,FreshFields #004,Northeast,Springfield,MA,95181,2022-09-15
S1005,FreshFields #005,Midwest,Grand Rapids,MI,87236,2021-02-13
S1006,FreshFields #006,South,Dallas,TX,65392,2021-10-25
S1007,FreshFields #007,West,Portland,OR,38221,2021-10-10
S1008,FreshFields #008,Northeast,Albany,NY,59797,2019-02-01
S1009,FreshFields #009,Midwest,Cleveland,OH,89131,2020-12-19
S1010,FreshFields #010,South,Austin,TX,70217,2019-05-27
S1011,FreshFields #011,West,Phoenix,AZ,82357,2021-04-15
S1012,FreshFields #012,Northeast,Allentown,PA,35203,2018-10-12
S1013,FreshFields #013,Midwest,Peoria,IL,39871,2021-03-31
S1014,FreshFields #014,South,Dallas,TX,23238,2022-04-06
S1015,FreshFields #015,West,Eugene,OR,93320,2022-02-03
S1016,FreshFields #016,Northeast,Worcester,MA,56566,2020-05-08
S1017,FreshFields #017,Midwest,Cincinnati,OH,99593,2018-10-20
S1018,FreshFields #018,South,Tampa,FL,42087,2019-11-01
S1019,FreshFields #019,West,Tucson,AZ,45382,2020-06-18
S1020,FreshFields #020,Northeast,Philadelphia,PA,40021,2018-05-12
S1021,FreshFields #021,Midwest,Cleveland,OH,45093,2018-09-29
S1022,FreshFields #022,South,Tampa,FL,51245,2020-05-20
S1023,FreshFields #023,West,Tucson,AZ,94259,2023-02-23
S1024,FreshFields #024,Northeast,Worcester,MA,28301,2020-10-07
S1025,FreshFields #025,Midwest,Cincinnati,OH,86622,2022-10-21
S1026,FreshFields #026,South,Raleigh,NC,38746,2019-07-21
S1027,FreshFields #027,West,Phoenix,AZ,16175,2019-03-26
S1028,FreshFields #028,Northeast,Springfield,MA,30969,2022-09-26
S1029,FreshFields #029,Midwest,Springfield,IL,60019,2023-04-02
S1030,FreshFields #030,South,Augusta,GA,11504,2019-04-15
S1031,FreshFields #031,West,Salem,OR,54587,2019-04-02
S1032,FreshFields #032,Northeast,Pittsburgh,PA,30730,2023-02-02
S1033,FreshFields #033,Midwest,Peoria,IL,44522,2023-08-13
S1034,FreshFields #034,South,Tampa,FL,23947,2021-05-07
S1035,FreshFields #035,West,Seattle,WA,59009,2019-10-24
S1036,FreshFields #036,Northeast,Rochester,NY,74042,2018-03-21
S1037,FreshFields #037,Midwest,Springfield,IL,50306,2020-09-07
S1038,FreshFields #038,South,Dallas,TX,84364,2018-11-19
S1039,FreshFields #039,West,Fresno,CA,19071,2023-12-22
S1040,FreshFields #040,Northeast,Boston,MA,96474,2023-05-01
S1041,FreshFields #041,Midwest,Grand Rapids,MI,79163,2022-09-30
S1042,FreshFields #042,South,Tampa,FL,36365,2021-06-30
S1043,FreshFields #043,West,Mesa,AZ,95180,2022-03-10
S1044,FreshFields #044,Northeast,Paterson,NJ,69177,2019-05-11
S1045,FreshFields #045,Midwest,Detroit,MI,18392,2021-10-16
S1046,FreshFields #046,South,Austin,TX,82603,2020-07-31
S1047,FreshFields #047,West,Seattle,WA,19305,2018-08-30
S1048,FreshFields #048,Northeast,Boston,MA,14117,2021-09-15
S1049,FreshFields #049,Midwest,Peoria,IL,41195,2021-02-14
